pop,min_year,max_year,interval_year
Acauã,1996,1996,0
Águia Branca,2006,2006,0
Aracruz,1992,1993,1
Belo Horizonte,1997,2000,3
Bocaiúva,2003,2003,0
Boracéia,1994,2001,7
Brigadeiro,1992,1992,0
Calçado,2012,2012,0
Caparaó,1979,2006,27
Caraça,1980,2006,26
Caratinga,1985,1993,8
Catas Altas,2001,2015,14
Chapada Diamantina,2002,2002,0
Cipó,1992,2002,10
Córrego do Veado,2008,2015,7
Diamantina,2007,2011,4
Duas Bocas,2007,2008,1
Felício,2007,2011,4
Forno Grande,2013,2014,1
Fragmentos,1999,2002,3
Grão Mogol,1989,1989,0
Guarapari,2014,2015,1
Ibitipoca,1988,1988,0
Ilha Grande,1976,2014,38
Intervales,1988,1988,0
Irapé,2006,2006,0
Itacaré,1999,1999,0
Jaíba,1990,1992,2
Joaíma,2005,2005,0
Lagoa Santa,1992,1992,0
Linhares,1992,1992,0
Mangaratiba,1993,2005,12
Mariana,1996,2012,16
Mata das Flores,2013,2014,1
Mocambinho,1990,1992,2
Palmares,2012,2012,0
Pancas,2006,2009,3
Pau Brasil,Inf,-Inf,-Inf
Peão,2008,2008,0
Pedra Azul,2003,2003,0
Peti,1986,2002,16
Regua,2004,2004,0
Reserva Vale,1993,2011,18
Rio Doce,1985,1996,11
Rio Preto,2009,2015,6
Rosemary,1996,2007,11
Santa Leopoldina,2008,2008,0
Santa Lúcia,2003,2012,9
Serra,2013,2013,0
Serra da Onça,1983,1983,0
Serra dos Órgãos,1996,2016,20
Sete Lagoas,1980,1980,0
Sooretama,2011,2011,0
Una,1997,1999,2
Viana,1982,2007,25
Virgem da Lapa,1987,1987,0
